Identifier, Property    , Value (cm-1),"		 Std"," 	N",    Name,    Reference    ,"	              Comment",,,,
1,Wavenumber,418,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gCCC (ring, op def.)",,,,
2,Wavenumber,490,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dCCC,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050
3,Wavenumber,498,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,gOCC (op def.),,,,
4,Wavenumber,569,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dO=CC (ip def.),,,,
5,Wavenumber,590,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gO=CCC(ring, op def), tCH3",,,,
6,Wavenumber,637,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"dCC (ring, ip def.)",,,,
7,Wavenumber,668,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gCOH (op def.), nCC",,,,
8,Wavenumber,690,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gCOH (op def.), nCC",,,,
9,Wavenumber,727,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"gHCCC (ring, op def.)",,,,
10,Wavenumber,817,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C(ring),,,,
11,Wavenumber,849,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,gHCCC (ring)(op def.),,,,
12,Wavenumber,963,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,rCH3,,,,
13,Wavenumber,1005,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,gHCCC (ring)(op def.),,,,
14,Wavenumber,1022,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,tCH3,,,,
15,Wavenumber,1075,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC-C,,,,
16,Wavenumber,1108,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"dHCC (ring, ip def.)",,,,
17,Wavenumber,1167,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"nCC, nC…C(ring)",,,,
18,Wavenumber,1219,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"dHOC (ip def.), dHCC (ring, ip def.)",,,,
19,Wavenumber,1260,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC-O (phenol),,,,
20,Wavenumber,1279,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC-O (phenol),,,,
21,Wavenumber,1302,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dHC (ring),,,,
22,Wavenumber,1357,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dsCH3,,,,
23,Wavenumber,1427,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dasCH3,,,,
24,Wavenumber,1444,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C(ring),,,,
25,Wavenumber,1513,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,dHC (ring),,,,
26,Wavenumber,1577,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C (ring),,,,
27,Wavenumber,1602,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC…C (ring),,,,
28,Wavenumber,1661,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nC=O,,,,
29,Wavenumber,1800,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"overtones, combinations",,,,
30,Wavenumber,2801,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,"overtones, combinations",,,,
31,Wavenumber,2799,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nsCH3,,,,
32,Wavenumber,2997,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nasCH3,,,,
33,Wavenumber,3045,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nasCH3,,,,
34,Wavenumber,3071,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nCH (ring),,,,
35,Wavenumber,3214,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nCH (ring),,,,
36,Wavenumber,3308,,,"J. Mol. Struct. 2014, 1078, 181-187",https://doi.org/10.1016/j.molstruc.2013.11.050,nOH,,,,
